a,k,m0,m1,alpha1,alpha2,alpha3,b_coef,c_coef,d_coef
-5,-5,-5,-5,6,0,-5,35,5,25
-5,-5,-5,0,6,0,-5,35,5,25
-5,-5,-5,6,0,-5,-5,35,5,50
-5,-5,-5,6,0,-5,0,30,5,25
-5,-5,-5,6,6,-5,-5,65,5,50
-5,-5,-5,6,6,-5,0,60,5,25
-5,-5,-5,6,6,0,-5,35,5,25
-5,-5,6,-5,-5,0,-5,35,5,25
-5,-5,6,0,-5,0,-5,35,5,25
-5,-5,6,6,-5,0,-5,35,5,25
0,-5,-5,-5,6,0,-5,35,5,25
0,-5,-5,0,6,0,-5,35,5,25
0,-5,-5,6,0,-5,-5,35,5,50
0,-5,-5,6,0,-5,0,30,5,25
0,-5,-5,6,6,-5,-5,65,5,50
0,-5,-5,6,6,-5,0,60,5,25
0,-5,-5,6,6,0,-5,35,5,25
0,-5,6,-5,-5,0,-5,35,5,25
0,-5,6,0,-5,0,-5,35,5,25
0,-5,6,6,-5,0,-5,35,5,25
6,-5,-5,-5,6,0,-5,35,5,25
6,-5,-5,0,6,0,-5,35,5,25
6,-5,-5,6,0,-5,-5,35,5,50
6,-5,-5,6,0,-5,0,30,5,25
6,-5,-5,6,6,-5,-5,65,5,50
6,-5,-5,6,6,-5,0,60,5,25
6,-5,-5,6,6,0,-5,35,5,25
6,-5,6,-5,-5,0,-5,35,5,25
6,-5,6,0,-5,0,-5,35,5,25
6,-5,6,6,-5,0,-5,35,5,25
